Part ID,Layer,Rotation,X,Y
J1,TOP,90,48.3057,5.10741
J4,TOP,-90,2.9815,3.18099
J5,TOP,-90,2.9815,28.9499
U2,TOP,90,23.2561,5.97489
U1,TOP,180,37.0647,9.70331
U6,TOP,0,29.8686,21.163
U5,TOP,-90,45.4025,20.1244
U8,TOP,-90,17.7165,19.8755
Z1,TOP,270,42.4495,8.7204
BT1,TOP,90,44.2595,28.0975
BT2,TOP,90,49.9745,28.0975
FT1,TOP,180,42.8178,3.30789
L1,TOP,-90,17.6481,4.5214
Q1,TOP,-90,30.4076,2.0252
Q2,TOP,-90,26.2801,2.0252
R1,TOP,180,36.6517,2.0379
D1,TOP,90,34.9446,30.5265
D2,TOP,90,39.2626,30.5265
D3,TOP,90,30.6266,30.5265
D4,TOP,90,26.3086,30.5265
D5,TOP,90,21.9905,30.5265
R2,TOP,90,38.1927,5.41609
R3,TOP,90,39.9072,5.41609
R7,TOP,90,34.8272,5.41609
R8,TOP,90,36.5417,5.41609
R4,TOP,-90,41.6217,5.41609
R5,TOP,-90,43.3362,5.41609
C4,TOP,90,33.1127,12.2106
C9,TOP,270,33.1127,5.41609
C11,TOP,-90,33.1127,7.70209
R6,TOP,-90,33.1127,9.98809
C6,TOP,-90,23.0456,2.0679
C7,TOP,-90,20.8231,2.0679
C8,TOP,0,42.8241,1.0854
C10,TOP,0,26.3368,6.9249
C15,TOP,0,16.1576,1.1489
C12,TOP,270,20.5056,5.70819
R9,TOP,0,28.6228,5.02491
R10,TOP,0,28.6228,6.9249
C5,TOP,0,17.6452,7.987
C14,TOP,270,18.9816,1.2251
C1,TOP,0,26.3368,5.02491
U7,TOP,-90,8.5485,28.8884
C25,TOP,180,7.4422,31.0515
C26,TOP,180,9.7028,31.0515
R23,TOP,0,7.4422,26.7335
R24,TOP,180,9.7028,26.7335
C27,TOP,180,13.3858,28.194
C28,TOP,180,16.6497,23.6855
C2,TOP,180,13.3858,31.0515
C3,TOP,0,30.9088,9.6554
C16,TOP,180,13.3858,29.6545
C13,TOP,0,11.8431,1.1489
U3,TOP,90,11.8431,3.9404
C29,TOP,-90,14.7271,5.70819
R12,TOP,-90,35.7066,28.1442
R13,TOP,-90,34.1826,28.1442
R14,TOP,-90,40.0246,28.1442
R15,TOP,-90,38.5006,28.1442
R16,TOP,-90,31.6426,28.1442
R17,TOP,-90,28.5946,28.1442
R18,TOP,-90,27.0706,28.1442
R19,TOP,-90,25.5466,28.1442
R20,TOP,-90,22.7525,28.1442
R21,TOP,-90,21.2285,28.1442
R11,TOP,-90,49.022,14.7447
C22,TOP,-90,49.022,16.9672
R22,TOP,90,26.4991,14.1563
C24,TOP,-90,28.0231,14.1563
R25,TOP,90,43.3997,11.1611
R26,TOP,270,41.4995,11.1611
C17,TOP,90,30.8171,14.1563
C20,TOP,90,29.4201,14.1563
C18,TOP,180,36.8752,16.976
C19,TOP,180,36.8752,20.913
C21,TOP,-90,30.1186,28.1442
C23,TOP,0,22.8618,20.913
C31,TOP,180,36.8752,23.707
C32,TOP,180,36.8752,25.104
R27,TOP,0,39.1231,25.104
R28,TOP,0,39.1231,23.707
C30,TOP,180,36.8752,22.31
U4,TOP,0,16.9396,28.6426
C35,TOP,0,26.3368,11.5604
C34,TOP,180,13.3858,26.7335
C33,TOP,180,18.8722,23.6855
R29,TOP,180,30.9088,11.5604
U9,TOP,90,23.2561,10.6104
C36,TOP,90,14.7306,3.44759
C38,TOP,-90,20.5328,10.1333
C39,TOP,0,26.3368,9.6554
L2,TOP,270,17.6753,11.409
R30,TOP,0,28.6228,9.6554
R31,TOP,0,28.6228,11.5604
